Episode,Reward,Steps,,,
804,-16.50828819,64,,,
805,-15.50472154,91,,,
806,-4.310738309,77,,,
807,-87.1315474,1600,,,
808,-6.960832636,67,,,
809,-10.07120648,62,,,
810,-83.71056386,1600,,,
811,-26.11978787,98,,,
812,-3.252854836,69,,,
813,-79.14438035,1600,,,
814,-20.4793768,110,,,
815,0.563650081,85,,,
816,-2.635491569,82,,,
817,-85.13081535,1600,,,
818,-1.437764143,99,,,
819,-82.93948562,1600,,,
820,-6.701848033,62,,,
821,-97.25926359,1600,,,
822,-83.33347117,1600,,,
823,-8.426333935,38,,,
824,-1.953074962,78,,,
825,-86.89121262,1600,,,
826,-76.79507234,1600,,,
827,-1.35224277,67,,,
828,-15.55312286,99,,,
829,-77.00545422,1600,,,
830,-2.579997373,59,,,
831,-80.6239974,1600,,,
832,0.544698534,82,,,
833,-10.93196821,56,,,
834,-1.878742158,60,,,
835,-81.58184856,1600,,,
836,-73.52910285,1600,,,
837,-10.76983211,44,,,
838,-15.33335712,73,,,
839,-81.79274863,1600,,,
840,-16.24458424,76,,,
841,-21.0623366,80,,,
842,-5.860212269,54,,,
843,-0.516331089,72,,,
844,-2.276161718,70,,,
845,-4.072539108,84,,,
846,-15.23145675,59,,,
847,-5.525339849,136,,,
848,-12.67591239,78,,,
849,-12.96159627,57,,,
850,-80.97683641,1600,,,
851,-81.39162024,1600,,,
852,-2.240924806,49,,,
853,0.192949555,87,,,
854,0.12488903,57,,,
855,-6.892739481,58,,,
856,-8.612604166,60,,,
857,-0.6833961,72,,,
858,-9.125331027,64,,,
859,-19.81728635,109,,,
860,-3.737722626,72,,,
861,-17.62461011,147,,,
862,-87.41402914,1600,,,
863,-91.20573925,1600,,,
864,-87.82099627,1600,,,
865,-0.520252023,80,,,
866,-1.108906143,96,,,
867,-17.14086876,70,,,
868,-16.50651638,89,,,
869,0.090239147,78,,,
870,-74.63648809,1600,,,
871,-0.961542148,68,,,
872,-13.92787902,63,,,
873,-91.88848731,1600,,,
874,-2.280672091,76,,,
875,-19.98018956,101,,,
876,-19.44167281,76,,,
877,-10.34362788,53,,,
878,-8.183161045,41,,,
879,-85.31602122,1600,,,
880,-15.66967514,56,,,
881,-18.80137957,76,,,
882,-87.44128081,1600,,,
883,-79.21790867,1600,,,
884,-77.88006931,1600,,,
885,-1.136391099,80,,,
886,-20.42062709,120,,,
887,-75.90916865,1600,,,
888,-3.071320963,76,,,
889,-12.54455596,65,,,
890,-82.46896758,1600,,,
891,-73.25761158,1600,,,
892,-96.38223654,1600,,,
893,-3.93115495,88,,,
894,-16.59770856,120,,,
895,1.76170977,83,,,
896,-8.120063437,41,,,
897,-7.571535658,48,,,
898,-81.90442117,1600,,,
899,-81.94210742,1600,,,
900,-82.34105105,1600,,,
901,-3.246812458,83,,,
902,-16.43280091,60,,,
903,-2.573354522,76,,,
904,-2.486530403,84,,,
905,-81.73018191,1600,,,
906,-1.877827357,66,,,
907,-12.71083655,53,,,
908,3.788257264,89,,,
909,-0.300870403,83,,,
910,-20.06822908,67,,,
911,-28.72293677,119,,,
912,0.333359168,98,,,
913,-4.856328926,93,,,
914,-88.62839603,1600,,,
915,-4.471418898,46,,,
916,-84.34009365,1600,,,
917,-6.476117188,46,,,
918,-76.36481915,1600,,,
919,-80.37543428,1600,,,
920,-4.710897138,68,,,
921,-17.26534491,56,,,
922,-21.62509357,89,,,
923,-14.36576386,54,,,
924,-2.852730331,62,,,
925,-4.318069033,110,,,
926,-5.508556154,103,,,
927,-83.99688544,1600,,,
928,-0.143265039,57,,,
929,-80.56477195,1600,,,
930,-0.278480632,69,,,
931,-85.0604555,1600,,,
932,-18.12396395,83,,,
933,-1.466927128,61,,,
934,-89.47596898,1600,,,
935,-5.678367075,81,,,
936,-11.01031188,53,,,
937,1.924990434,77,,,
938,-11.8443728,56,,,
939,-1.146875599,62,,,
940,-79.46216516,1600,,,
941,-6.600823199,163,,,
942,-1.338224438,79,,,
943,-80.3876551,1600,,,
944,2.194604526,82,,,
945,-76.08323055,1600,,,
946,-18.28626688,76,,,
947,-103.0766738,1600,,,
948,-85.51950062,1600,,,
949,-82.23871768,1600,,,
950,-85.20378499,1600,,,
951,-2.415445633,63,,,
952,-0.922849418,84,,,
953,-88.87304253,1600,,,
954,-80.42160066,1600,,,
955,-81.0064729,1600,,,
956,-83.4122006,1600,,,
957,0.077962501,69,,,
958,-12.68149796,72,,,
959,-75.99198758,1600,,,
960,-10.9408449,43,,,
961,-6.121960151,109,,,
962,-83.00377493,1600,,,
963,-2.61735334,68,,,
964,-25.08782351,192,,,
965,-75.0527761,1600,,,
966,-13.06918172,52,,,
967,-1.570098377,79,,,
968,-79.02272928,1600,,,
969,-82.73060919,1600,,,
970,-0.756174709,85,,,
971,-1.105093515,79,,,
972,-3.498789134,71,,,
973,-23.99301869,116,,,
974,-87.72613993,1600,,,
