Episode,Reward,Episode Steps,Average Rollout Steps,Reward Std
571,36.64458629,381,777.5,69.7334313
572,172.5486744,1600,744.15625,65.97265879
573,58.99165875,585,1056.875,64.49672054
574,15.58071319,369,734.875,68.05941878
575,171.4698904,1600,673.25,69.51110169
576,167.8037661,1600,914.53125,60.89319442
577,61.89940168,1061,804.875,79.47221785
578,76.64205329,688,831.46875,59.01146466
579,105.5786449,783,768.25,64.31870823
580,-12.22862799,49,803.5,70.0738012
581,86.03738176,511,328.28125,72.94319279
582,179.610596,1563,492.15625,76.16435746
583,60.05464499,381,586.5625,73.02775043
584,33.75245095,319,542.75,68.76143193
585,184.243252,1600,436.78125,55.95144744
586,-20.73560611,150,787.34375,81.93534864
587,59.52068178,594,473.25,43.58157417
588,75.25871254,566,592.125,51.63670557
589,12.12846787,375,597.0625,65.13085102
590,113.4634687,959,541.625,52.78691583
591,111.0277429,898,609.15625,64.94058381
592,53.98289099,413,498.90625,39.76587244
593,-29.06557617,248,378.6875,34.6041746
594,35.2018421,649,729.4375,56.22043979
595,56.87692801,728,608.5,43.17590184
596,39.88994286,577,630.625,55.99509238
597,38.2262359,229,449.78125,38.61326357
598,26.55162856,224,356.6875,26.17796495
599,82.57202991,506,523.6875,42.81982921
600,74.06459734,607,579.65625,54.14108022
601,28.18461628,225,488.40625,35.67261385
602,-0.609860569,568,357.65625,37.69704844
603,112.1840644,873,465.875,31.55006599
604,11.5242018,208,403.3125,47.97649974
605,66.39429846,406,311.03125,45.91480106
606,20.49660125,151,355.5,36.05149159
607,-29.13287922,292,327.75,31.18952094
608,16.52971945,161,370.5625,29.88200486
609,20.55286088,180,344.90625,27.8934146
610,66.40641963,442,218.75,15.79507567
611,30.74403143,267,342.8125,34.86021661
612,37.87503947,812,493.4375,49.98818406
613,19.28127101,165,449.8125,44.14164904
614,93.629549,1285,578,46.93592149
615,81.69707007,803,806.03125,59.52833146
616,29.01708511,646,809.21875,59.39679785
617,175.8976689,1600,764.3125,51.81717298
618,199.8621967,1600,982.28125,57.73835531
619,87.04933348,629,679.8125,61.97213408
620,54.75007412,922,688.53125,56.3780143
621,63.98287544,1049,805.15625,53.03791145
622,98.93915842,842,783.9375,43.8163379
623,157.1667663,1600,762.9375,70.77149437
624,217.574843,1541,826.5,58.24751957
625,154.3419889,1600,1007.40625,67.24442907
626,210.3188429,1600,985.1875,66.49649173
627,39.82456066,397,804.1875,54.97376305
628,193.1755897,1600,1022.1875,53.3990181
629,130.5835741,1228,1151.59375,56.14643626
630,120.8212451,944,1155.75,56.34352822
631,173.7336863,1600,1179.8125,63.27975564
632,42.28321293,477,870.3125,63.98254892
633,123.4596339,1034,999.03125,61.00920244
634,176.5661044,1600,978.25,67.91317998
635,-1.566846499,492,1006,76.26486924
636,78.66661807,1453,1149.375,55.41960343
637,127.0421211,1600,1218.71875,57.482146
638,182.6817194,1600,1198.5625,56.60658926
639,132.0604303,1075,1280.5625,56.2762034
640,38.73617226,366,1300.9375,48.60409289
641,5.28789144,287,1020.5625,62.83462974
642,211.0825708,1600,1083,58.85408017
643,215.2756651,1556,1185.96875,68.64017869
644,20.46015003,239,993.875,64.37612584
645,44.08276401,907,1004.0625,64.24582867
646,58.72546609,813,1227.90625,52.5533561
647,132.1973742,1600,1372.875,40.53531842
648,23.96773167,235,1409.53125,49.92927289
649,179.9676815,1600,1214.84375,62.85027412
650,57.95958613,497,1434.28125,41.76118824
651,191.7348355,1600,1342.34375,54.47209336
652,49.30710482,527,1382.9375,48.58801941
653,172.21467,1600,1245.96875,48.14080817
654,19.71311258,184,1094.65625,66.10367785
655,35.10688088,356,907.375,57.65873517
656,141.8282908,1403,1128.71875,55.73910435
657,98.07439694,1246,1313.46875,54.14338674
